Unobserved Bird,Latitude,Longitude,taxon_id,Common name
Ducula mindorensis,12.740085,121.118744,3175,Mindoro Imperial Pigeon
Setopagis heterura,3.4247,-59.7541,367506,Todd's Nightjar
Myioborus cardonai,5.782778,-63.784444,9448,Saffron-breasted Redstart
Setopagis maculosa,4.59457,-53.41397,367508,Cayenne Nightjar
Napothera pasquieri,22.1524,103.9843,339807,White-throated Wren-Babbler
Aulacorhynchus whitelianus,4.965,-59.9136,339632,Tepui Toucanet
Henicophaps foersteri,-5.642636,150.58891,3528,New Britain Bronzewing
Paraclaravis geoffroyi,-25.85913,-49.751472,979857,Purple-winged Ground Dove
Phylloscopus amoenus,-7.982,157.093,117210,Kolombangara Leaf Warbler
Pternistis griseostriatus,-11.026061,16.157785,495967,Gray-striped Spurfowl
Asio solomonensis,-6.0251,154.9889,1289583,Fearful Owl
Zosterops griseovirescens,-1.439308,5.635057,17474,Annobón White-eye
Cincloramphus turipavae,-9.633056,159.97556,1423868,Guadalcanal Thicketbird
Ptilorrhoa geislerorum,-4.7079,145.40683,979926,Dimorphic Jewel-babbler
Todiramphus colonus,-10.736308,151.72882,472073,Islet Kingfisher
Ducula bakeri,-15.514282,167.2579,3236,Vanuatu Imperial Pigeon
Aegotheles savesi,-21.28794,165.360007,19364,New Caledonian Owlet-nightjar
Chaetura andrei,-26.180974,-54.589519,1289685,Ashy-tailed Swift
Myzomela lafargei,-8.071892,157.14337,12447,Scarlet-naped Myzomela
Paroreomyza maculata,21.539782,-157.916862,10603,Oahu 'Alauahio
Myadestes lanaiensis,20.8166,-156.92732,12958,Oloma'o
Timeliopsis fulvigula,-9.149506,147.73001,12545,Olive Straightbill
Didunculus strigirostris,-13.609952,-172.49702,3685,Tooth-billed Pigeon
Crypturellus ptaritepui,5.964774,-61.418495,20552,Tepui Tinamou
Chenorhamphus grayi,-1.093192,133.90344,578152,Broad-billed Fairywren
Myzomela malaitae,-8.811341,160.78775,12454,Red-bellied Myzomela
Zosterops gibbsi,-11.65124,166.84402,73575,Vanikoro White-eye
Aplonis pelzelni,6.87222,158.22667,14944,Pohnpei Starling
Scolopax celebensis,-1.325392,120.30943,3935,Sulawesi Woodcock
Megapodius layardi,-15.480648,167.25612,2027,Vanuatu Megapode
Leucopeza semperi,13.901634,-60.971303,10537,Semper's Warbler
Vini amabilis,-17.58333,177.91667,1289567,Red-throated Lorikeet
Cacicus koepckeae,-11.815323,-73.18627,10363,Selva Cacique
Tanygnathus everetti,5.190033,120.098602,1508501,Blue-backed Parrot
Lewinia mirifica,16.131674,120.93396,72984,Luzon Rail
Actenoides bougainvillei,-6.3178,155.5087,2430,Moustached Kingfisher
Pachycephala utupuae,-11.27795,166.532719,367646,Utupua Whistler
Horornis haddeni,-6.3048,155.5207,339708,Odedi
Aerodramus papuensis,-6.65045,145.171433,144633,Three-toed Swiftlet
Aerodramus nuditarsus,-6.33,155.33,144619,Bare-legged Swiftlet
Tyto manusi,-2.082464,146.944664,20433,Manus Masked Owl
Aepypodius bruijnii,-0.395095,130.76456,2035,Waigeo Brush-turkey
Ceyx dispar,-2.070397,147.23972,513987,Manus Dwarf Kingfisher
Ceyx meeki,-8.1718,159.5958,513992,North Solomons Dwarf Kingfisher
Anaplectes jubaensis,2.005688,45.28976,1423528,Red Weaver
Vermivora bachmanii,10.547022,-83.504903,9806,Bachman's Warbler
Hypsipetes moheliensis,-12.344906,43.71676,144908,Moheli Bulbul
Aethomyias nigrorufus,-9.025334,147.73923,1506347,Bicolored Scrubwren
Rhizothera dulitensis,3.666667,114.75,979938,Dulit Partridge
Tepuiornis whitelyi,5.14058,-60.857186,1584381,Roraiman Nightjar
Calendulauda rufa,15.26238,5.200139,1583828,Rusty Lark
Zoothera talaseae,-6.3162,155.5203,13038,New Britain Thrush
Microtarsus nieuwenhuisii,2.199261,114.887461,1506394,Blue-wattled Bulbul
Cinnyris rockefelleri,-2.2895,28.6983,145165,Rockefeller's Sunbird
Rhinoptilus bitorquatus,6.41,3.3,4612,Jerdon's Courser
Discosura letitiae,-16.339633,-65.136484,6397,Coppery Thorntail
Lophornis pavoninus,5.049,-59.969,6346,Peacock Coquette
Ploceus reichardi,-7.687086,34.651443,13840,Tanganyika Masked-Weaver
Aulacorhynchus huallagae,-8.465994,-76.9305,18832,Yellow-browed Toucanet
Vidua raricola,9.030208,-11.774261,14022,Jambandu Indigobird
Pogonotriccus chapmani,5.0524,-60.6173,1440101,Chapman's Bristle-Tyrant
Pseudochelidon sirintarae,15.711781,100.235929,144779,White-eyed River Martin
Zosterops murphyi,-8.033087,157.11649,17495,Kolombangara White-eye
Laticilla burnesii,31.1358,74.9525,793235,Rufous-vented Grass Babbler
Tachornis furcata,9.439798,-70.78361,6870,Pygmy Palm Swift
Crypturellus brevirostris,4.642388,-55.417081,20551,Rusty Tinamou
Charmosynopsis toxopei,-3.371095,126.490867,1289574,Blue-fronted Lorikeet
Tachyspiza imitator,-8.19862,159.59728,1582891,Imitator Sparrowhawk
Ceyx nigromaxilla,-9.417305,160.01976,513994,Guadalcanal Dwarf Kingfisher
Rhipidura coultasi,-8.811341,160.78775,1507657,White-gorgeted Fantail
Pauxi koepckeae,-9.422266,-74.6246,339587,Sira Curassow
Ceblepyris graueri,1.983198,30.521486,1585527,Grauer's Cuckooshrike
Aegotheles terborghi,-6.524867,144.751733,1583462,Karimui Owlet-nightjar
Myzomela erythrina,-3.2,151.92,1586621,Reddish Myzomela
Meliphaga vicina,-11.510635,153.467839,12295,Tagula Honeyeater
Edolisoma insperatum,6.795,158.213,1585839,Pohnpei Cicadabird
